<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
GAZP,60,20230626,160000,167.3300000
GAZP,60,20230626,170000,168.1900000
GAZP,60,20230626,180000,167.6500000
GAZP,60,20230626,190000,167.0100000
GAZP,60,20230626,200000,166.9200000
GAZP,60,20230626,210000,166.9700000
GAZP,60,20230626,220000,165.6600000
GAZP,60,20230626,230000,166.4000000
GAZP,60,20230627,000000,166.9100000
GAZP,60,20230627,110000,166.2000000
GAZP,60,20230627,120000,166.9200000
GAZP,60,20230627,130000,166.6900000
GAZP,60,20230627,140000,166.6200000
GAZP,60,20230627,150000,166.6800000
GAZP,60,20230627,160000,167.0000000
GAZP,60,20230627,170000,167.1300000
GAZP,60,20230627,180000,167.0100000
GAZP,60,20230627,190000,166.5200000
GAZP,60,20230627,200000,166.8100000
GAZP,60,20230627,210000,166.2600000
GAZP,60,20230627,220000,166.5300000
GAZP,60,20230627,230000,166.5600000
GAZP,60,20230628,000000,166.4500000
GAZP,60,20230628,110000,166.6600000
GAZP,60,20230628,120000,166.1800000
GAZP,60,20230628,130000,166.3900000
GAZP,60,20230628,140000,166.6400000
GAZP,60,20230628,150000,166.5500000
GAZP,60,20230628,160000,167.5400000
GAZP,60,20230628,170000,168.0600000
GAZP,60,20230628,180000,168.1300000
GAZP,60,20230628,190000,168.0000000
GAZP,60,20230628,200000,167.7700000
GAZP,60,20230628,210000,167.9100000
GAZP,60,20230628,220000,167.9500000
GAZP,60,20230628,230000,168.0900000
GAZP,60,20230629,000000,168.0500000
GAZP,60,20230629,110000,169.4900000
GAZP,60,20230629,120000,168.8500000
GAZP,60,20230629,130000,168.4600000
GAZP,60,20230629,140000,168.5900000
GAZP,60,20230629,150000,168.0100000
GAZP,60,20230629,160000,167.9000000
GAZP,60,20230629,170000,168.0200000
GAZP,60,20230629,180000,168.2900000
GAZP,60,20230629,190000,168.0000000
GAZP,60,20230629,200000,168.0800000
GAZP,60,20230629,210000,168.1700000
GAZP,60,20230629,220000,168.0900000
GAZP,60,20230629,230000,167.8800000
GAZP,60,20230630,000000,167.8800000
GAZP,60,20230630,110000,166.6300000
GAZP,60,20230630,120000,166.9100000
GAZP,60,20230630,130000,166.7000000
GAZP,60,20230630,140000,166.8400000
GAZP,60,20230630,150000,166.9300000
GAZP,60,20230630,160000,166.6400000
GAZP,60,20230630,170000,167.2000000
GAZP,60,20230630,180000,167.0300000
GAZP,60,20230630,190000,167.6200000
GAZP,60,20230630,200000,166.9400000
GAZP,60,20230630,210000,166.8500000
GAZP,60,20230630,220000,166.9900000
GAZP,60,20230630,230000,167.0700000
GAZP,60,20230701,000000,166.8600000
GAZP,60,20230703,110000,167.0500000
GAZP,60,20230703,120000,167.4800000
GAZP,60,20230703,130000,167.4500000
GAZP,60,20230703,140000,167.4300000
GAZP,60,20230703,150000,167.3100000
GAZP,60,20230703,160000,167.3300000
GAZP,60,20230703,170000,167.1100000
GAZP,60,20230703,180000,166.9300000
GAZP,60,20230703,190000,166.7500000
GAZP,60,20230703,200000,166.8600000
GAZP,60,20230703,210000,166.9000000
GAZP,60,20230703,220000,166.9300000
GAZP,60,20230703,230000,166.8700000
GAZP,60,20230704,000000,166.8200000
GAZP,60,20230704,110000,166.1800000
GAZP,60,20230704,120000,166.1600000
GAZP,60,20230704,130000,166.0200000
GAZP,60,20230704,140000,166.0000000
GAZP,60,20230704,150000,166.4100000
GAZP,60,20230704,160000,166.2600000
GAZP,60,20230704,170000,166.0000000
GAZP,60,20230704,180000,166.3200000
GAZP,60,20230704,190000,166.4000000
GAZP,60,20230704,200000,166.1300000
GAZP,60,20230704,210000,166.1300000
GAZP,60,20230704,220000,165.7900000
GAZP,60,20230704,230000,165.6200000
GAZP,60,20230705,000000,165.5000000
GAZP,60,20230705,110000,166.5100000
GAZP,60,20230705,120000,166.3300000
GAZP,60,20230705,130000,165.8800000
GAZP,60,20230705,140000,165.6800000
GAZP,60,20230705,150000,165.8400000
GAZP,60,20230705,160000,165.9400000
GAZP,60,20230705,170000,165.9700000
GAZP,60,20230705,180000,165.7000000
GAZP,60,20230705,190000,165.3500000
GAZP,60,20230705,200000,165.7700000
GAZP,60,20230705,210000,165.8300000
GAZP,60,20230705,220000,165.8500000
GAZP,60,20230705,230000,165.8600000
GAZP,60,20230706,000000,165.7100000
GAZP,60,20230706,110000,166.3300000
GAZP,60,20230706,120000,166.9700000
GAZP,60,20230706,130000,166.7400000
GAZP,60,20230706,140000,166.9200000
GAZP,60,20230706,150000,166.9900000
GAZP,60,20230706,160000,166.5500000
GAZP,60,20230706,170000,166.3800000
GAZP,60,20230706,180000,166.5000000
GAZP,60,20230706,190000,166.9800000
GAZP,60,20230706,200000,166.7800000
GAZP,60,20230706,210000,166.6100000
GAZP,60,20230706,220000,166.6800000
GAZP,60,20230706,230000,166.6000000
GAZP,60,20230707,000000,166.3600000
GAZP,60,20230707,110000,166.1500000
GAZP,60,20230707,120000,166.2100000
GAZP,60,20230707,130000,166.1000000
GAZP,60,20230707,140000,166.1000000
GAZP,60,20230707,150000,166.1800000
GAZP,60,20230707,160000,166.2100000
GAZP,60,20230707,170000,166.4700000
GAZP,60,20230707,180000,166.5100000
GAZP,60,20230707,190000,166.8100000
GAZP,60,20230707,200000,166.5500000
GAZP,60,20230707,210000,166.7000000
GAZP,60,20230707,220000,166.4900000
GAZP,60,20230707,230000,166.5500000
GAZP,60,20230708,000000,166.3400000
GAZP,60,20230710,110000,168.2900000
GAZP,60,20230710,120000,167.9300000
GAZP,60,20230710,130000,167.4800000
GAZP,60,20230710,140000,167.1700000
GAZP,60,20230710,150000,167.2500000
GAZP,60,20230710,160000,167.0300000
GAZP,60,20230710,170000,167.4500000
GAZP,60,20230710,180000,167.4300000
GAZP,60,20230710,190000,167.7000000
GAZP,60,20230710,200000,167.4800000
GAZP,60,20230710,210000,167.4900000
GAZP,60,20230710,220000,167.4000000
GAZP,60,20230710,230000,167.4600000
GAZP,60,20230711,000000,167.5900000
GAZP,60,20230711,110000,168.3400000
GAZP,60,20230711,120000,168.0000000
GAZP,60,20230711,130000,167.9300000
GAZP,60,20230711,140000,167.9600000
GAZP,60,20230711,150000,168.0000000
GAZP,60,20230711,160000,168.0900000
GAZP,60,20230711,170000,167.6100000
GAZP,60,20230711,180000,168.0700000
GAZP,60,20230711,190000,168.4600000
GAZP,60,20230711,200000,168.7200000
GAZP,60,20230711,210000,168.6600000
GAZP,60,20230711,220000,168.8100000
GAZP,60,20230711,230000,168.7200000
GAZP,60,20230712,000000,168.8500000
GAZP,60,20230712,110000,170.1900000
GAZP,60,20230712,120000,170.4500000
